date_string,yield,term
1990-02-01,0.0,BC_30YEARDISPLAY
1990-02-01,8.02000045776,BC_3MONTH
1990-02-01,8.35000038147,BC_3YEAR
1990-02-01,8.35000038147,BC_5YEAR
1990-02-01,8.13000011444,BC_6MONTH
1990-02-01,8.38000011444,BC_7YEAR
1990-02-02,8.5,BC_10YEAR
1990-02-02,8.13000011444,BC_1YEAR
1990-02-02,8.36999988556,BC_2YEAR
1990-02-02,8.51000022888,BC_30YEAR
1990-02-02,0.0,BC_30YEARDISPLAY
1990-02-02,8.06999969482,BC_3MONTH
1990-02-02,8.43000030518,BC_3YEAR
1990-02-02,8.42000007629,BC_5YEAR
1990-02-02,8.17000007629,BC_6MONTH
1990-02-02,8.46000003815,BC_7YEAR
1990-02-05,8.52999973297,BC_10YEAR
1990-02-05,8.14999961853,BC_1YEAR
1990-02-05,8.36999988556,BC_2YEAR
1990-02-05,8.52999973297,BC_30YEAR
1990-02-05,0.0,BC_30YEARDISPLAY
1990-02-05,8.07999992371,BC_3MONTH
1990-02-05,8.43000030518,BC_3YEAR
1990-02-05,8.43999958038,BC_5YEAR
1990-02-05,8.18000030518,BC_6MONTH
1990-02-05,8.47999954224,BC_7YEAR
1990-02-06,8.56999969482,BC_10YEAR
1990-02-06,8.14999961853,BC_1YEAR
1990-02-06,8.42000007629,BC_2YEAR
1990-02-06,8.57999992371,BC_30YEAR
1990-02-06,0.0,BC_30YEARDISPLAY
1990-02-06,8.09000015259,BC_3MONTH
1990-02-06,8.43000030518,BC_3YEAR
1990-02-06,8.48999977112,BC_5YEAR
1990-02-06,8.17000007629,BC_6MONTH
1990-02-06,8.52000045776,BC_7YEAR
1990-02-07,8.52000045776,BC_10YEAR
1990-02-07,8.17000007629,BC_1YEAR
1990-02-07,8.42000007629,BC_2YEAR
1990-02-07,8.56999969482,BC_30YEAR
1990-02-07,0.0,BC_30YEARDISPLAY
1990-02-07,8.07999992371,BC_3MONTH
1990-02-07,8.43000030518,BC_3YEAR
1990-02-07,8.51000022888,BC_5YEAR
1990-02-07,8.18999958038,BC_6MONTH
1990-02-07,8.52999973297,BC_7YEAR
1990-02-08,8.48999977112,BC_10YEAR
1990-02-08,8.13000011444,BC_1YEAR
1990-02-08,8.36999988556,BC_2YEAR
1990-02-08,8.5,BC_30YEAR
1990-02-08,0.0,BC_30YEARDISPLAY
1990-02-08,8.07999992371,BC_3MONTH
